File,Line,Confidence,Reason,HasWidthHeight,Src,ImgOpenTag,Notes
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\pilot-directory.html,376,High,missing-loading,FALSE,/assets/pilot-directory/atp-cfi.jpg?v=20250907-192839,"<img src=""/assets/pilot-directory/atp-cfi.jpg?v=20250907-192839"" alt=""ATP-CFI"" class=""desk-pilot-dir-atp-cfi"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\pilot-directory.html,391,High,missing-loading,FALSE,/assets/pilot-directory/atp-cfi.jpg?v=20250907-192839,"<img src=""/assets/pilot-directory/atp-cfi.jpg?v=20250907-192839"" alt=""ATP-CFI"" class=""desk-pilot-dir-atp-cfi"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\pilot-directory.html,422,High,missing-loading,FALSE,/assets/pilot-directory/atp-cfi.jpg?v=20250907-192839,"<img 
              src=""/assets/pilot-directory/atp-cfi.jpg?v=20250907-192839"" alt=""ATP-CFI"" 
              class=""desk-pilot-dir-atp-cfi"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\pilot-directory.html,658,High,missing-loading,FALSE,/assets/pilot-directory/blue-star-blank.png?v=20250907-192839,"<img src=""/assets/pilot-directory/blue-star-blank.png?v=20250907-192839"" alt=""blue star icon"" style=""width: 50px; vertical-align: middle;"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\pilot-directory.html,611,High,missing-loading,FALSE,/assets/pilot-directory/canada-bar.jpg?v=20250907-192839,"<img src=""/assets/pilot-directory/canada-bar.jpg?v=20250907-192839"" alt=""Country Bar"" class=""desk-pilot-dir-country-bar"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\pilot-directory.html,309,High,missing-loading,FALSE,/assets/pilot-directory/cfi.jpg?v=20250907-192839,"<img src=""/assets/pilot-directory/cfi.jpg?v=20250907-192839"" alt=""CFI"" class=""desk-pilot-dir-cfi"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\pilot-directory.html,362,High,missing-loading,FALSE,/assets/pilot-directory/cfi.jpg?v=20250907-192839,"<img src=""/assets/pilot-directory/cfi.jpg?v=20250907-192839"" alt=""CFI"" class=""desk-pilot-dir-cfi"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\pilot-directory.html,403,High,missing-loading,FALSE,/assets/pilot-directory/cfi.jpg?v=20250907-192839,"<img src=""/assets/pilot-directory/cfi.jpg?v=20250907-192839"" alt=""CFI"" class=""desk-pilot-dir-cfi"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\pilot-directory.html,454,High,missing-loading,FALSE,/assets/pilot-directory/cfi.jpg?v=20250907-192839,"<img src=""/assets/pilot-directory/cfi.jpg?v=20250907-192839"" alt=""CFI"" class=""desk-pilot-dir-cfi"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\pilot-directory.html,468,High,missing-loading,FALSE,/assets/pilot-directory/cfi.jpg?v=20250907-192839,"<img src=""/assets/pilot-directory/cfi.jpg?v=20250907-192839"" alt=""CFI"" class=""desk-pilot-dir-cfi"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\pilot-directory.html,518,High,missing-loading,FALSE,/assets/pilot-directory/cfi.jpg?v=20250907-192839,"<img 
                src=""/assets/pilot-directory/cfi.jpg?v=20250907-192839"" 
                alt=""CFI"" 
                class=""desk-pilot-dir-cfi"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\pilot-directory.html,550,High,missing-loading,FALSE,/assets/pilot-directory/cfi.jpg?v=20250907-192839,"<img src=""/assets/pilot-directory/cfi.jpg?v=20250907-192839"" alt=""CFI"" class=""desk-pilot-dir-cfi"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\pilot-directory.html,589,High,missing-loading,FALSE,/assets/pilot-directory/cfi.jpg?v=20250907-192839,"<img src=""/assets/pilot-directory/cfi.jpg?v=20250907-192839"" alt=""CFI"" class=""desk-pilot-dir-cfi"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\pilot-directory.html,600,High,missing-loading,FALSE,/assets/pilot-directory/cfi.jpg?v=20250907-192839,"<img src=""/assets/pilot-directory/cfi.jpg?v=20250907-192839"" alt=""CFI"" class=""desk-pilot-dir-cfi"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\pilot-directory.html,626,High,missing-loading,FALSE,/assets/pilot-directory/cfi.jpg?v=20250907-192839,"<img src=""/assets/pilot-directory/cfi.jpg?v=20250907-192839"" alt=""CFI"" class=""desk-pilot-dir-cfi"">",no width/height
